name,season,number,airdate,rating,summary,image_url
Wild Horses,3,14,1992-11-18,10.0,"Dylan's Porsche breaks down near a secluded ranch. The wealthy owner takes him in and wants him to stay permanently (as her boy toy). Dylan is disappointed when she sells her favorite horse, and decides not to live in an environment where everything is for sale. Brenda and Kelly make up. David fires Steve as manager after he is humiliated at a showcase because he had to go on without a sound check. Nikki is stunned when her ex-boyfriend Diesel's band performs a song he had written for her. Brandon cannot understand why Nikki is so taken with an abusive, boozing jerk. Nikki tries to leave when Diesel brings home another woman, so he hits her. Brandon punches out Diesel and takes Nikki home. The janitor warns Steve that he may have to turn him in to save himself.

Music: """"Switch It Up,"""" performed by Brian Austin Gr",https://image.tmdb.org/t/p/original//qTLaUHoiWJzS77vd7Rk9P6lpJB.jpg
The Kindness of Strangers,3,15,1992-11-25,9.0,"Brandon finds Jack Canner (the homeless vet he met at the beach club) rummaging through the dumpster behind the Peach Pit. He takes him home for Thanksgiving dinner, but Canner runs afoul of Jim, who accuses him of shirking his family responsibilities and hiding behind the flag. Brandon explains to Canner that Jim's father was a Marine; the two never spoke again after Jim refused to go to Vietnam. Canner helps repair a leaky roof, and Jim apologizes and urges him to reach out to his son. Jack McKay gets a furlough and spends Thanksgiving with Dylan. Jack insists on spending time with his girlfriend and gets on Dylan's case about dropping out. Jack's girlfriend, Christine, convinces Dylan to give his father another chance. Dylan returns to West Beverly and greets a surprised Brenda and Kelly with kisses. Steve and Samantha appear on a television show about celebrities, and Steve tells her on-camera that he has been expelled. Samantha stands up for Steve and gets his punishment reduced t",https://image.tmdb.org/t/p/original//bUGamfo1xjHXvXQ3CCUfC4s8rNF.jpg
It's a Totally Happening Life,3,16,1992-12-16,9.0,"Two talking stars narrate an account of the gang's events during the week before Christmas. Brenda, Kelly and Dylan decide to be friends, but the arrangement falls apart after both girls make out with Dylan. Andrea is accepted to Yale, but gets dumped by her boyfriend. Nikki tells Brandon that she is moving back to San Francisco. Brandon and Andrea share a kiss while watching """"It's a Wonderful Life,"""" but accuse each other of thinking about their exes. David is depressed about his mother's move to Portland and the fact that he will be left behind when everyone graduates. Everyone tries to back out of a trip to distribute gifts at an elementary school, but Donna and Mrs. Teasley force them to attend. Steve, who is forbidden from extracurricular activities as part of his probation, drives to the school on his own.

Music: """"Joy to the World""""; """"Ti",https://image.tmdb.org/t/p/original//1zjly8sJGiwpGSVUhJ4CDSdq8pE.jpg
The Game Is Chicken,3,17,1993-01-06,10.0,"Steve becomes friends with a guy in detention through their interest in cars. Steve and Brandon win a lot of money betting on Joe in a car race, but Dylan warns that the whole thing may be a scam. Steve and Brandon agree to bankroll Joe in a high-stakes race against drug dealer Frank Padilla. Brandon realizes that their opponent may be the guy who ran over Andrea. While Brandon contacts the police, Steve tries to stall by insisting that he be allowed to race Padilla. The two get into an argument and agree to a deadly game of """"chicken,"""" but Dylan comes between them. Andrea identifies Padilla as the hit-and-run driver. Brenda and Kelly agree to a double-date with two guys from Princeton, only to find that they are geeks from the Princeton School in Encino. Donna takes over David's radio show while he tries to catch up on his studies in the hopes of graduating early.",https://image.tmdb.org/t/p/original//1xSRfQQyrC4Zyg56oxsOG9dEvED.jpg
Midlife...Now What?,3,18,1993-01-13,10.0,"Cindy, Jackie and the girls spend the weekend at a health spa. Kelly is wary because Babette, a friend of Jackie's from her drug-using days, works at the facility. Brenda overhears a gossipy masseuse discussing a friend's affair with Mel. Kelly calls home and learns from David that Mel has been gone for several days. Babette tries to comfort Jackie by offering her drugs, but she resists temptation and vows to face her problems head-on. Cindy fears that Jim may get involved with his secretary. Jim continues to fantasize about the woman, but she quits her job to get married. Brandon bets heavily on sporting events. Dylan agonizes over his decision of whether to date Brenda or Kelly. Jack is granted parole after serving just two years of a ten-year sentence.

Music: """"Have You Ever Had to Make Up Your Mind?"""" by The Lovin' Spoonful (#2, 1966); """"Rhythm Is a Dancer"""" by Snap (#5, 1993)",https://image.tmdb.org/t/p/original//nlrKX9KAK0a9OkuiJcInw8Vi7sr.jpg
Back in the High Life Again,3,19,1993-01-27,10.0,"Jack is released from prison. He encourages Dylan to invite all his friends to a party, but only Kelly shows up. Dylan tells Kelly that he has chosen her over Brenda, and they kiss in the hotel pool. Dylan and Kelly take Brenda for a walk to inform her of Dylan's decision, and reveal their summer fling. She screams that she will never speak to them again. The financially destitute Jack wants to dissolve Dylan's trust so that he can have access to the money. Dylan goes along with it to show faith in his father. Jim fears that Jack is taking advantage of Dylan. Mel moves out of the Taylor house. David fears that he will no longer be a part of Erin's life, but Jackie invites him to stay with Kelly and her. Nat forgets to place a winning bet for Brandon; in lieu of cash, Brandon asks for his bookie's phone number.

Music: """"Come Go With Me"""" by the Dell-Vikings (#4, 1957); """"The Right",https://image.tmdb.org/t/p/original//58LbxinTz7teblW3rSvOlQm5TKy.jpg
Parental Guidance Recommended,3,20,1993-02-03,10.0,"Iris flies in from Hawaii, and Dylan and Jack try to soften her up to convince her to approve the dissolution of the trust. She is leery of Jack's motives, but elects not to stand in their way. Jack makes a clandestine phone call and promises someone that he will get the money. Brenda mopes around in her room and discards all mementos of Dylan. A visit from Iris convinces her to get past her pain, and she talks to Kelly at school. Steve helps David get a meeting with a record company. The record company executive threatens to call off the deal unless David fires Steve, and he agrees. Andrea is hesitant to attend a tea for future Yale students.

Music: """"Losing My Religion"""" by R.E.M.; """"Kansas City"""" by Wilbert Harrison (#1, 1959); """"Action Speaks Louder Than Words"""" by Tara Kemp (from the 90210 soundtrack); """"So You Want to Be a Rock 'N' Roll Star"""" by",https://image.tmdb.org/t/p/original//sAIIINM6Hd0lyuWZidGBeLrK7t4.jpg
Dead End,3,21,1993-02-10,0.0,"Jack and Dylan begin living on a yacht, where they are constantly kept under surveillance. Jim does not want to dissolve the trust, but finally gives his approval so that Dylan can have a new life with his father. Christine accepts Jack's marriage proposal. Dylan and Kelly sleep together. Jack tries to confess something to Dylan, but a man interrupts them and warns Jack that he is breaking their deal. A bomb is attached to Jack's car during the night. Dylan receives a phone call from Kelly just as he is about to move the car, so Jack agrees to do it. As Dylan hangs up, he turns to see the car explode. Jackie tells Kelly and David that she has to sell the house. She receives an offer, but decides to hold out for a while.

Music: """"All the Way to Heaven"""" by Jody Watley; """"Tutti Frutti"""" by Little Richard (#17, 1956); """"Take Me Out to the Ballg",https://image.tmdb.org/t/p/original//kALQsonDneDvXOKFhAiRfKKEA7l.jpg
The Child Is Father to the Man,3,22,1993-02-17,9.0,"In the wake of his father's death, Dylan grapples with his personal demons while trying to elude the reporters camping out on his lawn. The media speculates that Jack was killed because of his mob ties--and that Dylan is the next target. Kelly feels uncomfortable when Brenda invites Dylan to stay with the Walshes. David has to miss the post-funeral reception because of a recording session. He postpones the session and arrives at the Walsh house just in time to stop Dylan from drinking. Dylan receives a phone call advising him to come to a secret meeting. He learns that his father was released from prison because he agreed to participate in a sting on a mob boss. Jack had asked that Dylan be told the truth if anything happened to him. Christine was also an FBI agent, but planned to resign to marry Jack.

Music: """"Love to Love You, Baby"""" (Donna Summer - #2, 1976), sung by Raymond O'Connor; """"Can't Cry Hard Enough"""" by the Williams Brothers",https://image.tmdb.org/t/p/original//caCV8c6rjLVzwPFy2nVMgZl5dhU.jpg
Duke's Bad Boy,3,23,1993-03-03,10.0,"Duke warns Brandon that he must pay off a $1500 debt by the end of the week. Brandon places a bet with a high school bookie and wins, but the guy cannot cover his bet. A desperate Brandon tries to rough him up. Nat realizes that Brandon is in trouble and pays Duke, but forces Brandon to promise that he will never place another bet. Kelly fears that she is losing her connection with Dylan. She becomes obsessed with her weight and starts taking diet pills. Dylan is hurt when Andrea requests an interview for the Blaze, but decides to write about his father to help deal with his pain. Andrea encourages Dylan's interest in writing and convinces Gil to let him enroll in AP English. David's producer ignores his hip-hop material and forces him to record a repetitive, syrupy ballad. David goes along with the producer's wishes, and gets dropped from his contract.

Music: """"Jimmy Olsen's Blues"""" by the Spin Doctors; """"Switch It Up"""" and """"Precious"""" by Brian Austin Green",https://image.tmdb.org/t/p/original//izsxhxYrkYjhp3iGSjK1Fzy799N.jpg
Perfectly Perfect,3,24,1993-03-24,10.0,"Kelly continues to starve herself and abuse diet pills, and becomes extremely irritable. She freaks out and screams at a potential buyer for the house. Kelly believes that her friends are talking behind her back, until Steve explains that they are planning a surprise party for her eighteenth birthday. Brenda finds Kelly passed out in the Peach Pit's bathroom during the party. Kelly ignores the doctor's advice and refuses to admit that she has a problem. Steve and Brandon tape an appearance on the game show Love at First Sight; and end up vying for the same girl, Celeste. Celeste chooses Steve, who is disheartened to learn that he must go on their date immediately and miss Kelly's party. Celeste suggests cutting the date short after hearing Steve's dilemma, and asks to see him again. Brenda decides to re-establish ties with her friends back in Minnesota.

Music: """"Land of 1000 Dances"""" by Wilson Pickett (#6, 1966); """"Let Me Be Your Baby"""" by Geoffrey Williams",https://image.tmdb.org/t/p/original//fHGaLvKCmwxU2TVy3AR3y4fJfD8.jpg
Senior Poll,3,25,1993-04-07,9.0,"Kelly stops attending her eating disorder group because the girls with more severe cases unnerve her. Kelly wins """"Most Beautiful"""" in the senior poll, while Dylan is """"Most Handsome."""" Kelly suspects that everyone judges her entirely on her looks, and blows up at Dylan and Jackie. Dylan lets her read a section from his manuscript in which he describes his feelings for her. Brenda feels isolated from her classmates when she fails to win anything in the poll. She decides to apply to the University of Minnesota. Brandon and Steve take Jim and Cindy to a Lakers game because they can't get dates. They do not arrive until nearly halftime because of Brenda's big news and a traffic jam. Steve wins the chance to take a halfcourt shot for $10,000, and makes the shot. He anonymously donates the money to the school to revive a summer camp for elementary school students.

Music: """"Man on the Moon"""" by R.E.M. (#30, 1993); """"Humpin' Around"""" by Bobby Brown (#3, 1992)",https://image.tmdb.org/t/p/original//mWdUCH3893wXMYxETDCbFBjBEm8.jpg
She Came in Through the Bathroom Window,3,26,1993-04-21,9.0,"Brenda, Kelly, Donna, Andrea and David go to Magic Mountain for Senior Ditch Day (an event organized by the school). A classmate steals Kelly's wallet, but Donna beats him up when he tries to snatch her purse. Andrea struggles to overcome her fear of roller coasters, and she and Donna have a talk about being virgins. Brandon misses out on the trip to fill in for an ailing Nat at the Peach Pit. A tour guide brings the Burt Reynolds Fan Club to the Pit, but cannot pay the bill because she has supposedly been scammed by her boss. She jumps out the bathroom window and steals Brandon's car. Steve and Dylan catch up to her and spend the day trying to track down Burt Reynolds and convince him to meet the fan club. Burt shows up as a favor to Steve's mother, but the tour guide turns out to be the actual con artist.

Music: """"Dream Baby (How Long Must I Dream)"""" by Roy Orbison (#4, 1962); """"Walk Right In"""" by the Rooftop Singers (#1, 1963)",https://image.tmdb.org/t/p/original//oudpmjrdqQPAekaTxy0YFtyzvwQ.jpg
A Night to Remember,3,27,1993-04-28,10.0,"Brandon and Andrea discover that the school board has quietly passed a measure in which any senior found drunk at the prom will be barred from graduation. Jackie tells David and Kelly that she has sold the house. Brandon and Brenda do not plan to attend the prom. Brenda accepts an invitation from football star Tony Miller, and Andrea calls Brandon at the last minute after Jordan gets the flu. Donna is surprised when her mother gives her permisson to stay out all night. David rents a hotel room for the night. Mel serves champagne at a pre-prom party, and everyone except Dylan and Andrea drinks. Donna gets drunk (partially because she also hadn't eaten all day) and becomes very ill. The gang tries to sneak her out of the hotel, but she faints right in front of Mrs. Teasley.

Music: """"Time to Be Lovers"""" by Michael McDonald and Chaka Khan; """"Action Speaks Louder Than Words""""",https://image.tmdb.org/t/p/original//yGpboA1cKyaYihIEJAh68fs9aI2.jpg
Something in the Air,3,28,1993-05-12,10.0,"Donna is suspended, and must enroll in summer school before she can graduate. Felice refuses to appeal the ruling because she is worried about her own reputation. Donna changes her mind by reminding her that her husband and Donna forgave Felice for her past mistakes. Brandon is disgusted by the students' apathy, and Gil encourages him to take action on Donna's behalf. Brandon convinces the entire senior class to walk out on finals as a show of solidarity. Dylan doesn't want to participate because he has set his sights on making it into the University of California-Berkeley. The juniors join the protest after Brandon agrees to add the elimination of a proposed dress code to the demands.",https://image.tmdb.org/t/p/original//yhH1tmdColkjgRsZkcDDD27zpFO.jpg
Commencement,3,29,1993-05-19,10.0,"At graduation, the friends reminisce about their high-school days and look ahead to college.",https://image.tmdb.org/t/p/original//pByeaYAwZIHoQRZ09acG754yqSy.jpg
"So Long, Farewell, Auf Wiedersehen, Goodbye",4,1,1993-09-08,9.0,"Steve is taken off the waiting list and accepted to California University. A producer hoping to entice Samantha to star in a sitcom allows Steve, Brandon and Celeste use of his beach house for a few weeks. The gang throws a blow-out bash the night before Brenda is to leave for Minnesota. Kelly comes home early from Europe--without Dylan. She claims that all is well, but later confesses to Donna that the couple broke up. Jill, the producer's daughter, finds Brandon in her father's trashed house and believes that he is a burglar. Steve has had a crush on Jill for years, and annoys Celeste by falling all over her. However, Jill is actually attracted to Brandon. Brenda's friends in Minnesota constanly pepper her with questions about Beverly Hills. She fears she has made a terrible mistake, but Cindy insists that the situation will improve. Dylan tries to call Brenda from Europe, but she is not in her room. David has difficulty finding an apartment after he fails to get into a dormitory. Ke",https://image.tmdb.org/t/p/original//5nBhg98O4gSJYaz6H4dcCnrFQ9v.jpg
The Girl From New York City,4,2,1993-09-15,8.0,"Brandon and Steve become very competitive over a tennis match, and nearly come to blows when Steve purposely hits Jill with the ball. Jill pushes Brandon away. She confesses that she was recently raped. Brandon agrees to sleep beside her because she is not ready for sex, but cannot talk her out of returning to New York. Dylan returns to the U.S., and Kelly avoids him. She explains to Donna that Dylan became extremely moody after UC Berkeley rejected him. Kelly returned from a shopping trip to find him flirting with a girl, and responded by going out with a bartender before leaving for the States. Kelly finally goes to see Dylan and they quickly make up. Donna's parents are moving to Houston for a year. Kelly and Donna struggle to prevent Felice from finding out that they are living with David. David believes that Donna will now sleep with him, but she has other ideas. Brenda cannot get into any of her desired classes. Darla (her roommate and best friend from junior high) monopolizes th",https://image.tmdb.org/t/p/original//omdJ1uDettpfmdNcCp0gEhCJ3Eg.jpg
The Little Fish,4,3,1993-09-22,10.0,"Jim and Cindy are shocked when Brenda returns from Minnesota. Brandon considers moving out because he can no longer use Brenda's bedroom as a rec room. Brenda announces that she is not interested in returning to college. Dylan grows tired of waiting to register and also chooses to forego college, much to Kelly's chagrin. Brenda and Dylan spend a relaxing day fishing, and elect to enroll in California University after all. Andrea tries out for the college paper and must review the Peach Pit. She catches Nat on a very bad day and writes a scathing review. Andrea decides to pass on the paper and enroll in pre-med courses. Josh Richland, editor of the Condor, asks Brandon to run for Student Senate for the Progressive party. David and Donna interview for the campus radio station, and he is furious when she lets their aircheck tape melt in the car.

Musi",https://image.tmdb.org/t/p/original//rqG9iFDXmvdkQFzcEJFe7m3yWWh.jpg
Greek to Me,4,4,1993-09-29,9.0,"Steve badgers Brandon into pledging the Kappa Epsilon Gamma fraternity. The frat brothers disapprove of Brandon's involvement with Josh and the Progressives. Brandon disassociates himself from the party when it proposes the elimination of all fraternities and sororities. He disappoints Steve by not joining the KEG house, but is made an honorary member. Kelly, Donna, Brenda and Andrea pledge the Alpha Omega sorority. Kelly runs into John Sears, a guy who spread rumors about her after they dated in high school. He insists that he has changed, and Kelly stays out late talking with him after a party (which Dylan refused to attend). Dan Rubin, Andrea's resident advisor, warns her of possible discrimination. Andrea wears a star necklace to a ceremony, and the sorority president chastises her for """"making an issue"""" of being Jewish.",https://image.tmdb.org/t/p/original//qtuMmOhwL2NLwJbCMlUSkd2Krpq.jpg
Radio Daze,4,5,1993-10-06,7.0,"Donna quits the radio show because she can no longer take the demanding schedule. When she goes to tell Howard, he asks her to fill in for a missing DJ. He offers her the afternoon show, which angers David, but recants after reconciling with his girlfriend (the previous afternoon DJ). John continues to pursue Kelly. Dylan and Kelly argue because he does not wish to attend the freshman pool party. He does show up, but Kelly later kisses John outside her apartment. Dan is Andrea and Donna's English teacher. He encourages Andrea to expose more of herself in her writing, and asks her on a date. Brenda takes a job at Jim's office. She gets in hot water when she forgets to deliver some important contracts. Steve plans to break up with Celeste so that he can play the field. He realizes his true feelings for her, but has to beg for forgiveness after ignoring her at the pool party.

Music: """"Under Pressure"""" by Sunscreem",https://image.tmdb.org/t/p/original//4EzknfizR0anzlVfJqgrRcJf9qj.jpg
Strangers in the Night,4,6,1993-10-13,10.0,"Dylan's Porsche is experiencing severe wear and tear, so he must buy a new car. He plans to just get a working vehicle, but instead splurges on a new Porsche. Kelly realizes that she and Dylan have vastly different interests, and recommends that they see other people. As Dylan drives home after the break-up, he is carjacked. Andrea loses her virginity to Dan. She feels uncomfortable in English class and decides to transfer to another section. Jim sets up Brenda on a blind date with Stuart Carson, the son of a client. He is handsome and dashing, and the two stay out until 2 AM. Exhausted from his overnight radio show, David skips classes and lies around the apartment all day. Kelly and Donna complain that he has become a pig, and he makes an on-air apology.  Music: """"Crossfire"""" by Stevie Ray Vaughan and Double Trouble; """"Man on the Moon"""" by R.E.M.; """"Fire and Rain"""" by James Taylor (#3, 1970)",https://image.tmdb.org/t/p/original//iS1CQjqDvsZjILdrq8lVgg1UoN.jpg
Moving Targets,4,7,1993-10-20,9.0,"In the wake of the carjacking, Dylan becomes obsessed with self-defense. He frightens Kelly by constantly going to the shooting range. Jim and Cindy believe that Brenda and Stuart are spending too much time together. Mr. and Mrs. Carson wholeheartedly approve of the relationship. They invite the Walshes to their mansion for brunch. Brandon's sociology professor is impressed by his work and asks him to tutor a basketball star. Jackie is furious when Mel brings his girlfriend along on his weekend with Erin. Kelly and David take sides in their parents' dispute. Dan is afraid to see Andrea in public because he fears his colleagues' reaction. Andrea finally takes the initiative and kisses him in the middle of the student union.

Music: """"You Can't Hurry Love"""" by the Supremes",https://image.tmdb.org/t/p/original//iMP3ORpGoFyjTyLC1dvAcdWEWqg.jpg
Twenty Years Ago Today,4,8,1993-10-27,10.0,"The Walshes host a party to celebrate their twentieth anniversary. An unstable Dylan buys a gun from a private dealer and waves it around like a toy. Brandon breaks into Dylan's house to retrieve his parents' anniversary gift, and Dylan nearly shoots him. He promises to dispose of the weapon. Dylan warns Brandon that Stuart has an unsavory past. Stuart proposes to Brenda during the party. Everyone (except Jim's mother) is stunned when they announce their engagement. Mel dumps Erin off on David so that he can spend the weekend in Mexico with his girlfriend. Jackie is enraged when Erin becomes ill. Andrea reconsiders her relationship with Dan. She flirts with the handsome bartender at the Walshes' party. Brandon meets an attractive doctoral student at the campus gym.

Music: """"What the World Needs Now Is Love"""" by Jackie DeShannon (#7, 1965); """"In the Midnight Hour"""" (Wilson Pickett - #21, 1965) and """"Midnight at the Oasis"""" (Maria Muldaur - #6, 1974), performed by Ronnie Jayne",https://image.tmdb.org/t/p/original//6eb2PljMKModaCoPKjzjp7VEejO.jpg
Otherwise Engaged,4,9,1993-11-03,10.0,"Stuart rents a luxurious hotel room for Brenda and himself as a getaway. Brenda is furious to discover a prenuptial agreement in his briefcase. Dylan makes a play for Brenda in the hopes of persuading her to break the engagement. Brenda learns that her father encouraged Dylan, and storms out in a huff. She seeks refuge at the hotel, and decides to sign the prenup because she doesn't want Stuart's money. One of Steve's frat brothers pressures him into a double date. John admits that he is seeing a number of other girls, as Kelly hasn't committed to him. Steve sleeps with his date, and is overcome with guilt for cheating on Celeste. Brandon becomes frustrated with D'Shawn, who only cares about basketball and cartoons. Brandon has a romantic dinner with Lucinda. She reveals that she is married, but he doesn't back off until he learns that Professor Randall is her husband. Jackie sues Mel for full custody of Erin. David's testimony at a deposition hearing is extremely damaging to his fathe",https://image.tmdb.org/t/p/original//8pgg0mX0wlGqndYipm9aAI9p38J.jpg
And Did It...My Way,4,10,1993-11-10,10.0,"Professor Randall and Lucinda invite Brandon and D'Shawn over for dinner. Steve tries to avoid the smitten Laura. Mr. and Mrs. Carson plan to turn Brenda and Stuart's wedding into a major social event. The couple decides to sneak off to Las Vegas and elope. Brandon and the gang follow them in the hopes of changing their minds. They pretend to be supportive, but play on the couple's insecurities by constantly dropping hints about the difficulties of marriage. Jim and Cindy dash off to Las Vegas to stop the wedding, but Brenda and Stuart have already called it off. Donna arranges a truce between David and Kelly.

Music: """"You Keep Me Hangin' On"""" by the Supremes (#1, 1966); """"It's Not Unusual"""" by Tom Jones (#10, 1965); """"Let's Get It On"""" by Marvin Gaye (#1, 1973); """"When I Fall in Love"""" (Doris Day - #20, 1952), played by band",https://image.tmdb.org/t/p/original//qhJQsJPgdRajoJl8LLYqgUWCSc3.jpg
Take Back the Night,4,11,1993-11-17,10.0,"Steve tells Laura that he cannot see her again because he has a girlfriend. During the activities for Take Back the Night Week, she concludes that she was a victim of date rape and plans to identify Steve at a campus rally. Kelly warns Steve, who adamantly proclaims his innocence. Steve confesses his indiscretion to Celeste, who breaks up with him. Before Laura can speak at the rally, Kelly steps to the microphone. She shares that she was nearly a victim of rape, then pointedly adds that there were other times when she regretted sleeping with a guy, but had consented at the time. She identifies Steve as a hero for saving her from the rapist at the Halloween party. Steve apologizes for using Laura, who admits that she had done nothing to discourage him. Lucinda insists on openly flirting with Brandon, who wants nothing to do with her. D'Shawn threatens to tell Professor Randall that Brandon is sleeping with his wife unless he takes his midterm for him. Lucinda encourages Brandon to take",https://image.tmdb.org/t/p/original//hMmZb5QHNSGH2DXWtrGrvFJbV7K.jpg
Radar Love,4,12,1993-11-24,10.0,"After mistaking a woman at a gas station for Emily, Brandon decides to visit Emily's home in Marin County. He learns that the family has moved to Greece, but runs into Emily by chance on a cable car in San Francisco. They rekindle their romance and decide to spend Thanksgiving together. Emily does not reveal that she must move away in a week. The KEG house and Alpha sorority serve Thanksgiving dinner at a halfway house, and John tries to take advantage of a 15-year-old girl. Steve intervenes and has the fraternity president distract John. Dylan declines Kelly's Thanksgiving invitation because he plans to go surfing, but later agrees to dine with the Walshes. When Kelly comes over with her family, she snaps at Dylan and makes a scene. Andrea is hesitant to attend a Thanksgiving soiree at the home of Dan's parents.

Music: """"Radar Love"""" by Golden Earri",https://image.tmdb.org/t/p/original//ss2CJ1Fpk6XOUWogTigJc1zDjvC.jpg
Emily (a.k.a. The Pink Pearl),4,13,1993-12-01,9.0,"Emily has been accepted to the prestigious Cousteau Institute in France, but does not want to attend because she and Brandon are in love. Brandon observes her passion for marine biology and encourages her to pursue her dream. Brenda balks when she is asked to appear nude in an experimental campus play. The frat and sorority pledges must endure a series of humiliating experiences during """"Hell Week."""" The upperclassmen order Steve to steal a prize autographed baseball from Professor Randall for a scavenger hunt, but he gets caught. Andrea breaks up with Dan and begins dating Jesse. She learns that he is a UCLA law student who attended undergraduate courses at Yale.

Music: """"San Francisco Days"""" by Chris Isaak",https://image.tmdb.org/t/p/original//hbGZbhCJ86ZgHFhL5oso9uE6uPK.jpg
Windstruck,4,14,1993-12-15,10.0,"Donna and David celebrate their second anniversary as a couple. She finally agrees to sleep with him, but their romantic evening is interrupted by a surprise visit from her parents. Donna dodges suspicion by admitting that David lives in the apartment. Felice is angry at the deception, but Dr. Martin encourages her to let Donna live her own life. Donna puts David on hold because she does not want to betray her parents' trust. The KEG house distances itself from Steve to avoid the penalties for hazing. Lucinda tells Brandon that someone tipped off campus security about Steve's break-in. Professor Randall accuses Brandon of sleeping with Lucinda and plans to take out his anger on Steve. He drops the charges after Brandon threatens to report him for giving D'Shawn undeserved grades. Kelly and Dylan get back together.

Music: """"Hey Jealousy"""" by Gin Blossoms (#25, 1993); """"I Fought the Law"""" by The Bobby",https://image.tmdb.org/t/p/original//aa4oebv4MwQ0vZcydSng8LmR6wR.jpg
Somewhere in the World It's Christmas,4,15,1993-12-22,0.0,"The Walshes plan to spend the holidays in Hawaii, but their plane experiences mechanical problems. They are forced to fly back to Los Angeles and make an emergency landing. Dylan receives a surprise visit from Suzanne Steele, his father's former lover, and her 12-year-old daughter. The duo recently lost its home in Iowa to a flood, and decided to take a road trip as a distraction. Suzanne reveals that Erica is Dylan's half-sister. He is initially skeptical, but decides to give them the benefit of the doubt. Kelly boycotts Mel's Christmas party, but he comes through for her when she has a dental emergency. David gives Donna the cold shoulder for refusing to sleep with him. He breaks up with her on Christmas Eve.

Music: """"This Christmas""""; """"The Christmas Song"""" by Aaron Neville; """"Jingle Bells""""; """"Silver Bells""""; """"Angels We Have Heard on High,"""" performed by church choir; """"Jingle Bell Rock""""; """"Santa",https://image.tmdb.org/t/p/original//1bfVaArYAWHWCvHQpz2TT2eReOC.jpg
Crunch Time,4,16,1994-01-05,9.0,"The fraternity ostracizes Steve because many people believe that he escaped punishment for the break-in by squealing on others. John refuses to allow Steve any playing time on the intramural volleyball team. Steve becomes fed up and accuses John of tipping off the cops. The KEG house holds a ceremony to decide which of the two should be forced from the house. John arrogantly confesses to his friend Keith, who sides with Steve. This gives the remaining members the courage to vote against John. Dylan bonds with Erica and offers to loan Suzanne money to get her back on her feet. He offends Suzanne when he follows Jim's advice and asks for her social security number. They apologize for the misunderstanding, and Erica secretly gets Dylan the information. D'Shawn begins to pay attention to his studies after a lecture from his sister. He tears up his knee in his first game, but passes his sociology final without assistance.",https://image.tmdb.org/t/p/original//tW1gq5QqNKBXppD3X4QqDpWsN1Y.jpg
Thicker Than Water,4,17,1994-01-12,10.0,"David is unable to eat or sleep because of his drug addiction. He steals codeine from his father's office in the hopes of calming his nerves. He falls asleep in the park while babysitting Erin, and she disappears. She is found hiding in a nearby house, and a guilt-ridden David confesses his drug problem to Kelly. Dylan takes care of Erica while Suzanne is out of town. He turns to Cindy for help when Erica experiences a major life event. Jim tells Dylan that Suzanne, who had claimed to be broke, has $25,000 in her account. Suzanne explains that she has just received the insurance settlement for her trailer. Donna meets a handsome ski instructor during a weekend in the mountains with Brenda, Steve and Brandon. Andrea learns that she is pregnant.",https://image.tmdb.org/t/p/original//lkF8fMUqu7Kcjijz4WeeLRGW3AK.jpg
Heartbreaker,4,18,1994-01-26,10.0,"David begins seeing a psychiatrist and tries to make amends with Donna. He tries to take time off from his radio show, but Steve proves to be completely incompetent as a fill-in. David steals drugs from Howard's desk and returns to the airwaves high. Andrea confesses her pregnancy to Brandon and Kelly; but has difficulty telling Jesse, who has just been offered a clerkship in San Francisco. The university names Brandon as its representative on a national task force. Suzanne takes a waitress job at the Peach Pit. Nat collapses with a heart attack, and Dylan and Brandon save his life with CPR. Nat's cousin Joey, an equal partner, wants to sell the Peach Pit. Brandon fears that Nat will have nothing to live for without the Peach Pit. He ignores his father's advice and decides to run the diner in Nat's absence.

Music: """"Then Came You"""" by Dionne Warwick and The Spinners (#1, 1974); """"This Old Heart of Mine"""" by the Isley Bro",https://image.tmdb.org/t/p/original//bK8EKmku40a4YaMc2dmZBsVCK5k.jpg
The Labors of Love,4,19,1994-02-02,9.0,"Kelly finds drugs in David's bedroom. She moves in with Dylan and takes Donna with her. Howard fires David from the radio show and orders him to find a new supplier. Donna goes against Kelly's wishes by covering the rent for David, who cashes the check and uses it for drugs. Jesse breaks up with Andrea after she shares her plans to have an abortion. He later reconsiders, and Andrea reveals that she has decided to have the baby. They announce their engagement, much to the surprise of their friends. The girls enroll in one of Lucinda's anthropology classes. Dylan buys out Joey so that the Peach Pit can stay in business. Brandon pouts because he did not get to be the hero. He provides comfort to the divorcing Lucinda.

Music: """"What a Wonderful World"""" by Louis Armstrong (recorded in 1967; #32, 1988)",https://image.tmdb.org/t/p/original//z6DzGvBFQHLI6rgNqyr1PlTapJK.jpg
